target_deathrate,incidencerate,medincome,pcths25_over,pctbachdeg25_over,pctpubliccoverage,pctpubliccoveragealone,povertypercent
164.9,489.8,61898,23.2,19.6,32.9,14,11.2
161.3,411.6,48127,26,22.7,31.1,15.3,18.6
174.7,349.7,49348,29,16,42.1,21.1,14.6
194.8,430.4,44243,31.6,9.3,45.3,25,17.1
144.4,350.1,49955,33.4,15,44,22.7,12.5
176,505.4,52313,30.4,11.9,43.2,20.2,15.6
175.9,461.8,37782,29.8,11.9,46.4,28.7,23.2
183.6,404,40189,31.6,11.3,50.9,24.1,17.8
190.5,459.4,42579,32.2,12,48.1,26.6,22.3
177.8,510.9,60397,28.8,16.2,31.4,16.5,13.1
121.4,413.3,54721,17.2,26.2,41.6,18.3,12.7
172.7,499.3,51395,26.7,15.9,38.1,20.2,15.7
188.3,398.9,52673,29.2,14.2,36.1,20.5,12.6
165.3,493.4,71890,24.3,20.9,25.9,14.1,9.9
171,440.7,50083,25.7,18.1,36.5,21.4,16.3
174.2,423.8,43823,34.4,10.7,45.8,24.1,19.3
169.9,495.9,61653,22.7,20.3,30.7,13.7,11.9
153.8,463.2,51022,33.1,10.1,49.7,20.4,13.9
162.8,442.5,49819,22.6,16.4,38,18.8,15.7
163.3,490.9,53733,23,21.3,31.9,17.4,15.7
140.8,390.5,41837,17.4,25.7,22.9,11.9,28.4
169.4,411,44342,27.8,9.8,35.7,22.4,20.5
189.7,445.2,35615,47.1,7.9,44.8,26.4,21.5
206.1,463.1,56737,38.2,12.7,33.1,17.3,13.2
236.7,501.8,37625,49.4,5.4,46.3,25.4,22.1
196.3,396.6,33817,49.1,8.5,43.4,25.4,22.2
186.2,481.6,43572,43.7,11,39.7,19.4,15.1
194,483.4,34887,31.9,14.8,39,21.7,21.9
226.5,459.9,32162,48.9,7.6,46,25.2,21.8
212.9,591,32961,49.1,5.8,52,32.5,25.1
185.6,234,41838,44.3,8.8,45.2,25.4,17.4
217,457,36739,44.4,8.4,47.8,27.8,21.4
209.9,463.1,32705,36.6,9.8,39,18.8,28.9
128,356.3,41039,50.2,7,42.4,21.2,17
195.1,494.9,36996,44,11.2,43,22.1,21.1
212.1,475.1,35980,50,6.9,44.7,31.1,21.2
184.1,495,48178,42.8,12.6,37.6,17.1,12.9
153,374.9,41010,47.7,9.3,38.2,19.1,15.3
206.7,506.6,42121,39.5,13.5,39.5,21.3,13.9
194.2,475.8,41121,41.1,11.7,40.6,21.3,16.7
178.2,423.7,66950,32.1,18.2,29.2,14.6,10.2
205.4,508.7,43936,37.3,14.7,39.4,20.4,16.8
218.4,553,40568,49.7,9.3,46.8,26.9,20
226.9,513.2,34295,43.4,5.7,52.6,31.6,24.4
240.1,523.9,36437,41.6,5.5,45.5,25.8,20.2
234.8,457.1,24707,43.9,3.2,58.5,37.7,34.9
188.8,510.9,43729,40.9,14.5,35.7,18.3,17.9
184.6,456.3,43356,45.1,11.4,37.5,17,15.2
209.5,463.4,35799,47.5,7.8,47.6,26.6,20.6
210,493.8,35046,37.9,12.5,48.2,27.1,20.5
